song,album,year,bpm,duration,vocal,harmony,database_url,official_youtube,harmony_youtube,instruments,guitar1_youtube,guitar2_youtube,bass_youtube,instrumental_youtube,bass_tab,spotify,lyrics,lyrics_chord
I'll Be Back,A Hard Day's Night,1964,124.0,140512,John,Paul・George,https://beatlesdata.info/3/13_illbeback.html,fJSTBNTac6k,8ikoo3rqJKQ,J-160E・クラギ・ヘフナー,VX454UWpqMg,,U7eLm7Y75VI,clmH21JOCpU,https://www.songsterr.com/a/wsa/beatles-ill-be-back-bass-tab-s22798,3lSi6qfnp2YZazTzcOLBZk,"You know if you break my heart I'll go<br>But I'll be back again<br>Cos I told you once before goodbye<br>But I came back again<br><br>I love you so<br>I'm the one who wants you<br>Yes, I'm the one<br>Who wants you, oh ho, oh ho, oh<br><br>You could find better things to do<br>Than to break my heart again<br>This time I will try to show that I'm<br>Not trying to pretend<br><br>I thought that you would realize<br>That if I ran away from you<br>That you would want me too<br>But I got a big surprise<br>Oh ho, oh ho, oh<br><br>You could find better things to do<br>Than to break my heart again<br>This time I will try to show that I'm<br>Not trying to pretend<br><br>I wanna go but I hate to leave you,<br>You know I hate to leave you , oh ho, oh ho, oh<br>You, if you break my heart I'll go<br>But I'll be back again",
No Reply,Beatles For Sale,1964,123.0,137900,John,Paul,https://beatlesdata.info/4/01_noreply.html,YgFo9STa70E,CPVwMxGmn_c,J-160E・6122・ヘフナー,Z516KxHtSLA,,7lIHUn4EyHE,YQX2KOhn9DE,https://www.songsterr.com/a/wsa/beatles-no-reply-bass-tab-s26425,4ltC6PrqkTtpcRNi5lvS4z,"This happened once before<br>When I came to your door<br>No reply<br>They said it wasn't you<br>But I saw you peep through your window<br><br>I saw the light, I saw the light<br>I know that you saw me<br>As I looked up to see your face<br><br>I tried to telephone<br>They said you were not home<br>That's a lie<br>'Cause I know where you've been<br>I saw you walk in your door<br><br>I nearly died, I nearly died<br>'Cause you walked hand in hand<br>With another man in my place<br><br>If I were you I'd realize that I<br>Love you more than any other guy<br>And I'll forgive the lies that I<br>Heard before when you gave me no reply<br><br>I've tried to telephone<br>They said you were not home<br>That's a lie<br>'Cause I know where you've been<br>I saw you walk in your door<br><br>I nearly died, I nearly died<br>'Cause you walked hand in hand<br>With another man in my place<br><br>No reply, no reply",
I'm A Loser,Beatles For Sale,1964,179.0,153547,John,Paul,https://beatlesdata.info/4/02_imaloser.html,f70Z3cvrQd0,aOHHwtv6nh0,Framus 12・6122・ヘフナー・ハーモニカ,KEAHXbIxB3A,,3CKcFApPXkc,,https://www.songsterr.com/a/wsa/beatles-im-a-loser-bass-tab-s26444,7wC4EW11mBVxDK3xdC7FTf,"I'm a loser<br>I'm a loser<br>And I'm not what I appear to be<br><br>Of all the love I have won or have lost<br>There is one love I should never have crossed<br>She was a girl in a million, my friend<br>I should have known she would win in the end<br><br>I'm a loser<br>And I lost someone who's near to me<br>I'm a loser<br>And I'm not what I appear to be<br><br>Although I laugh and I act like a clown<br>Beneath this mask I am wearing a frown<br>My tears are falling like rain from the sky<br>Is it for her or myself that I cry<br><br>I'm a loser<br>And I lost someone who's near to me<br>I'm a loser<br>And I'm not what I appear to be<br><br>What have I done to deserve such a fate<br>I realize I have left it too late<br>And so it's true, pride comes before a fall<br>I'm telling you so that you won't lose all<br><br>I'm a loser<br>And I lost someone who's near to me<br>I'm a loser<br>And I'm not what I appear to be",
Baby's In Black,Beatles For Sale,1964,101.0,127634,John,Paul,https://beatlesdata.info/4/03_babysinblack.html,TJFpUb7JGYo,Fzp7Q8Uby4c,J-160E・6122・ヘフナー,C90XNtbxJko,,DUzNpc477qw,Q6lj-zO2rmY,https://www.songsterr.com/a/wsa/beatles-babys-in-black-bass-tab-s2486,7cb2SdLm1UMLwdUoWwrZN1,"Oh dear, what can I do?<br>Baby's in black and I'm feeling blue<br>Tell me, oh what can I do?<br><br>She thinks of him and so she dresses in black<br>And though he'll never come back, she's dressed in black<br>Oh dear, what can I do?<br>Baby's in black and I'm feeling blue<br>Tell me, oh what can I do?<br><br>I think of her, but she thinks only of him<br>And though it's only a whim, she thinks of him<br>Oh how long will it take<br>Till she sees the mistake she has made?<br>Dear what can I do?<br>Baby's in black and I'm feeling blue<br>Tell me, oh what can I do?<br><br>Oh how long it will take<br>Till she sees the mistake she has made?<br>Dear what can I do?<br>Baby's in black and I'm feeling blue<br>Tell me, oh what can I do?<br><br>She thinks of him and so she dresses in black<br>And though he'll never come back, she's dressed in black<br>Oh dear, what can I do?<br>Baby's in black and I'm feeling blue<br>Tell me, oh what can I do?",
Rock And Roll Music,Beatles For Sale,1964,168.0,153808,John,,https://beatlesdata.info/4/04_rockandrollmusic.html,FgJevybEEkM,H1OMd4Lg7bQ,325・6122・ヘフナー・ピアノ,muZmM91zKk8,,OKWdX21vaPQ,nIs8gZn-EV0,https://www.songsterr.com/a/wsa/beatles-rock-and-roll-music-bass-tab-s26421,7Ho3T7ERfooiAfvODaMQ2N,"Just let me hear some of that rock and roll music<br>Any old way you choose it<br>It's got a back beat, you can't lose it<br>Any old time you use it<br>It's gotta be rock and roll music<br>If you wanna dance with me<br>If you wanna dance with me<br><br>I've got no kick against modern jazz<br>Unless they try to play it too darn fast<br>And lose the beauty of the melody<br>Until they sound just like a symphony<br><br>That's why I go for that rock and roll music<br>Any old way you choose it<br>It's got a back beat, you can't lose it<br>Any old time you use it<br>It's gotta be rock and roll music<br>If you wanna dance with me<br>If you wanna dance with me<br><br>I took my love on over cross the tracks<br>So she can hear my man awail a sax<br>I must admit they have a rocking band<br>Man, they were blowing like a hurricane<br><br>That's why I go for that rock and roll music<br>Any old way you choose it<br>It's got a back beat, you can't lose it<br>Any old time you use it<br>It's gotta be rock and roll music<br>If you wanna dance with me<br>If you wanna dance with me<br><br>Way down South they had a jubilee<br>Them Georgia folks they had a jamboree<br>They're drinking home brew from a wooden cup<br>The folks are dancing, there are all shook up<br><br>And started playing that rock and roll music<br>Any old time you use it<br>It's got a back beat, you can't lose it<br>Any old time you use it<br>It's gotta be rock and roll music<br>If you wanna dance with me<br>If you wanna dance with me<br><br>Don't care to hear them play a tango<br>And In The Mood they take a mambo<br>It's way too early for a congo<br>So keep a rocking that piano<br><br>That's why I go for that rock and roll music<br>Any old time you use it<br>It's got a back beat, you can't lose it<br>Any old time you use it<br>Gotta be rock and roll music<br>If you wanna dance with me<br>If you wanna dance with me",
I'll Follow The Sun,Beatles For Sale,1964,133.0,111098,Paul,John,https://beatlesdata.info/4/05_illfollowthesun.html,28d_A_NuJ7A,tvWeNZDk4KQ,J-160E・6122・ヘフナー,VcA0z_NItlo,,YzfN5QduHVk,Y2MJTYf_B8M,https://www.songsterr.com/a/wsa/beatles-ill-follow-the-sun-bass-tab-s26391,45WX2cfbL8bCIqv3rOq1G3,"One day you'll look to see I've gone<br>For tomorrow may rain, so I'll follow the sun<br>Some day you'll know I was the one<br>But tomorrow may rain, so I'll follow the sun<br><br>And now the time has come<br>And so my love I must go<br>And though I lose a friend<br>In the end you will know, oooh<br><br>One day you'll find that I have gone<br>But tomorrow may rain, so I'll follow the sun<br><br>Yea, tomorrow may rain, so I'll follow the sun<br>And now the time has come<br>And so my love I must go<br>And though I lose a friend<br>In the end you'll know, oooh<br><br>One day you'll find that I have gone<br>But tomorrow may rain, so I'll follow the sun",
Mr. Moonlight,Beatles For Sale,1964,0.0,157257,John,Paul,https://beatlesdata.info/4/06_mrmoonlight.html,FZQ8nWZJrhA,mAWol7azwt0,325・6122・ヘフナー・オルガン、コンガ,uFmon6JecQw,,quUC9qCAhic,,,6pPOkr2OxhQ6htrzOiDmq9,"Mr. Moonlight<br>You came to me one summer night<br>And from your beam you made my dream<br>And from the world you sent my girl<br>And from above you sent us love<br>And now she is mine<br>I think you're fine<br>Cos we love you, Mr. Moonlight<br><br>Mr. Moonlight, come again please<br>Here I am on my knees<br>Begging if you please<br>And the night you don't come my way<br>I'll pray and pray more each day<br>Cos we love you, Mr. Moonlight<br><br>And the night you don't come my way<br>Oh, I'll pray and pray more each day<br>Cos we love you, Mr. Moonlight<br>Mr. Moonlight<br><br>Mr. Moonlight, come again please<br>Here I am on my knees<br>Begging if you please<br>And the night you don't come my way<br>I'll pray and pray more each day<br>Cos we love you, Mr. Moonlight<br>Mr. Moonlight<br>Mr. Moonlight<br>Mr. Moonlight",
Kansas City | Hey-Hey-Hey-Hey,Beatles For Sale,1964,130.0,153521,Paul,John・George,https://beatlesdata.info/4/07_kansascity.html,4xvW-Nf9VAw,,325・6119・ヘフナー・ピアノ,JpnjWCulrzc,,EX-n5sAjNd8,,,5xf0zdP4KCfshyVn02D3Ea,"Ah, Kansas City<br>Gonna get my baby back home<br>Yeah, yeah<br>I'm gonna Kansas city<br>Gonna get my baby back home<br>Yeah, yeah<br>Well, it's a long, long, time<br>Since my baby's been gone<br><br>Ah, Kansas City<br>Gonna to get my baby on time<br>Yeah, yeah<br>I'm gonna Kansas City<br>Gonna get my baby on time<br>Yeah, yeah<br>It's just a one, two, three, four<br>Five, six, seven, eight, nine, wah<br><br>Hey, hey, hey, hey<br>Hey, baby, woo no clown<br>I say you're no clown<br>Now, now, now, now<br>Tell me baby<br>What's been wrong with you<br><br>Hey, hey, hey, hey<br>Hey, now baby, woo no clown<br>I say you're no clown<br>Now, now, now, now<br>Tell me baby<br>What's been wrong with you<br><br>Well, I'll say bye<br>Bye, bye, baby bye, bye<br>Oh, so long<br>Bye, bye, baby I'm gone<br>Yeah, I said<br>Bye, bye, baby, bye, bye<br>Bye, bye, bye, bye<br><br>Well, I'll say bye<br>Bye, bye, baby bye, bye",
Eight Days A Week,Beatles For Sale,1964,136.0,165511,John・Paul,George,https://beatlesdata.info/4/08_eightdaysaweek.html,kle2xHhRHg4,OmHsmoHf3qc,J-160E・6122・360-12・ヘフナー,w6uPS4GDOTA,,cCwaHKyrZLs,FBVvxcxaM9M,https://www.songsterr.com/a/wsa/beatles-eight-days-a-week-bass-tab-s22763,1Dg4dFJr3HW7sbA7vPejre,"Ooh, I need your love, babe<br>Guess you know it's true<br>Hope you need my love, babe<br>Just like I need you<br><br>Hold me, love me, hold me, love me<br>Ain't got nothing but love, babe<br>Eight days a week.<br><br>Love you every day, girl<br>Always on my mind<br>One thing I can say, girl<br>Love you all the time<br><br>Hold me, love me, hold me, love me<br>Ain't got nothing but love, girl<br>Eight days a week.<br><br>Eight days a week<br>I love you<br>Eight days a week<br>Is not enough to show I care<br><br>Ooh, I need your love, babe<br>Guess you know it's true<br>Hope you need my love, babe<br>Just like I need you<br><br>Hold me, love me, hold me, love me<br>Ain't got nothing but love, babe<br>Eight days a week<br><br>Eight days a week<br>I love you<br>Eight days a week<br>Is not enough to show I care<br><br>Love you every day, girl<br>Always on my mind<br>One thing I can say, girl<br>Love you all the time<br><br>Hold me, love me, hold me, love me<br>Ain't got nothing but love, babe<br>Eight days a week<br>Eight days a week<br>Eight days a week",
Words Of Love,Beatles For Sale,1964,122.0,134791,John・Paul,,https://beatlesdata.info/4/09_wordsoflove.html,no-nuFTHetE,7qv3Dc1bsKo,325・6119・ヘフナー,5PVvrb5Nwuw,,hBX2iyyhpCg,,https://www.songsterr.com/a/wsa/beatles-words-of-love-bass-tab-s26384,42qkSeX6HNJYHxlk6cWoFe,Hold me close and tell me how you feel<br>Tell me love is real<br>Words of love you whisper soft and true<br>Darling I love you<br><br>Let me hear you say the words I long to hear<br>Darling when you're near<br>Words of love you whisper soft and true<br>Darling I love you,
Honey Don't,Beatles For Sale,1964,163.0,179670,Ringo,,https://beatlesdata.info/4/10_honeydont.html,XIc-VCw5r0A,,325・6119・ヘフナー・タンバリン,C4dRxu3T084,,9wpIaP49fyA,,https://www.songsterr.com/a/wsa/beatles-honey-dont-bass-tab-s22784,2d7GP7Fz1NrfPpo7MzWZgb,"Well how come you say you will when you won't<br>Say you do, baby, when you don't?<br>Let me know honey how you feel<br>Tell the truth now, is love real?<br>But ah ah well honey don't, well honey don't<br>Honey don't, honey don't, honey don't<br>I say you will when you won't, ah ah, honey, don't<br><br>Well I love you, baby, and you ought to know<br>I like the way you wear your clothes<br>Everything about you is so doggone sweet<br>You got that sand all over your feet<br>But ah ah well honey don't, honey don't<br>Honey don't, honey don't, honey don't<br>I say you will when you won't, ah ah, honey, don't<br><br>[Ah, rock on George, one time for me.<br><br>I feel fine.<br>I said.]<br><br>Well sometimes I love you on a Saturday night<br>Sunday morning you don't look right<br>You've been out painting the town<br>Ah ah baby, been stepping around<br>But ah ah well honey don't, I said honey don't<br>Honey don't, honey don't, honey don't<br>I say you will when you won't, ah ah, honey, don't<br><br>[Ah, rock on George, for Ringo one time.]<br>Well honey don't, well honey don't<br>I say you will when you won't, ah ah, honey, don't",
Every Little Thing,Beatles For Sale,1964,123.0,124604,John・Paul,,https://beatlesdata.info/4/11_everylittlething.html,jrDikOz8YSU,,J-160E・360-12・ヘフナー・ティンパニ,4JOnlGY_bG0,,ROz66OJ3hb8,awctuOQoDuE,https://www.songsterr.com/a/wsa/beatles-every-little-thing-bass-tab-s22764,2CxTkdvhDuQrOxl8xXkdJS,"When I'm walking beside her<br>People tell me I'm lucky<br>Yes, I know I'm a lucky guy<br>I remember the first time<br>I was lonely without her<br>Can't stop thinking about her now<br><br>Every little thing she does<br>She does for me, yeah<br>And you know the things she does<br>She does for me, oooh<br><br>When I'm with her I'm happy<br>Just to know that she loves me<br>Yes, I know that she loves me now<br>There is one thing I'm sure of<br>I will love her forever<br>For I know love will never die<br><br>Every little thing she does<br>She does for me, yeah<br>And you know the things she does<br>She does for me, oooh<br><br>Every little thing she does<br>She does for me, yeah<br>And you know the things she does<br>She does for me, oooh<br>Every little thing<br>Every little thing",
I Don't Want To Spoil The Party,Beatles For Sale,1964,97.0,156212,John,Paul,https://beatlesdata.info/4/12_idontwanttospoiltheparty.html,zqVDvLDLsjI,S4ZDuEZ-x48,325・6119・ヘフナー,X4N4x6tEZ4c,,Hy2HqGAIXH0,yE2pJ1eSCqw,https://www.songsterr.com/a/wsa/beatles-i-dont-want-to-spoil-the-party-bass-tab-s22790,3kQDIa85ZK8cKVn72NfBnl,I don't want to spoil the party so I'll go<br>I would hate my disappointment to show<br>There's nothing for me here so I will disappear<br>If she turns up while I'm gone please let me know<br><br>I've had a drink or two and I don't care<br>There's no fun in what I do if she's not there<br>I wonder what went wrong I've waited far too long<br>I think I'll take a walk and look for her<br><br>Though tonight she's made me sad<br>I still love her<br>If I find her I'll be glad<br>I still love her<br><br>I don't want to spoil the party so I'll go<br>I would hate my disappointment to show<br>There's nothing for me here so I will disappear<br>If she turns up while I'm gone please let me know<br><br>Though tonight she's made me sad<br>I still love her<br>If I find her I'll be glad<br>I still love her<br><br>Though I've had a drink or two and I don't care<br>There's no fun in what I do if she's not there<br>I wonder what went wrong I've waited far too long<br>I think I'll take a walk and look for her,
What You're Doing,Beatles For Sale,1964,129.0,154775,Paul,John・George,https://beatlesdata.info/4/13_whatyouredoing.html,7Sba2LbhkVY,t94lta7tlWE,J-160E・360-12・ヘフナー・ピアノ,ff9JKbGSQeM,,6UKiM15fnus,gRe0CS3GQiU,https://www.songsterr.com/a/wsa/beatles-what-youre-doing-bass-tab-s2585,6C6y4OWK1Ki3FVF1TIonxW,"Look what you're doing, I'm feeling blue and lonely<br>Would it be too much to ask of you<br>What you're doing to me?<br><br>You got me running and there's no fun in it<br>Why should it be so much to ask of you<br>What you're doing to me?<br><br>I've been waiting here for you<br>Wond'ring what you're gonna do<br>And should you need a love that's true<br>It's me<br><br>Please stop your lying, you've got me crying, girl<br>Why should it be so much to ask of you<br>What you're doing to me?<br><br>I've been waiting here for you<br>Wond'ring what you're gonna do<br>And should you need a love that's true<br>It's me<br><br>Please stop your lying, you've got me crying, girl<br>Why should it be so much to ask of you<br>What you're doing to me?<br>What you're doing to me?<br>What you're doing to me?",
Everybody's Trying To Be My Baby,Beatles For Sale,1964,171.0,143934,George,,https://beatlesdata.info/4/14_everybodystryingtobemybaby.html,wn7FiAdHcmw,,J-160E・6122・ヘフナー・タンバリン,-kqbbuYHJbM,,oezmh5wlas4,D20rk3kiMjI,https://www.songsterr.com/a/wsa/beatles-everybodys-trying-to-be-my-baby-bass-tab-s22766,4DZAH8eiqSAkMIE9l5D71U,"Well they took some honey from a tree<br>Dressed it up and they called it me<br><br>Everybody's trying to be my baby<br>Everybody's trying to be my baby<br>Everybody's trying to be my baby now<br><br>Woke up last night, half past four<br>Fifty women knocking on my door<br><br>Everybody's trying to be my baby<br>Everybody's trying to be my baby<br>Everybody's trying to be my baby now<br><br>[Instrumental/solo]<br><br>Went out last night I didn't stay late<br>'Fore I got home I had nineteen dates<br><br>Everybody's trying to be my baby<br>Everybody's trying to be my baby<br>Everybody's trying to be my baby now<br><br>[Instrumental/solo]<br><br>Went out last night I didn't stay late<br>'fore I got home I had nineteen dates<br><br>Everybody's trying to be my baby<br>Everybody's trying to be my baby<br>Everybody's trying to be my baby now<br><br>Well they took some honey from a tree<br>Dressed it up and they called it me<br><br>Everybody's trying to be my baby<br>Everybody's trying to be my baby<br>Everybody's trying to be my baby now",
Help!,Help!,1965,190.0,141008,John,Paul・George,https://beatlesdata.info/5/01_help.html,WSm1poMBND4,Lkxac7gjqCE,Framus 12・6119・ヘフナー,,,lbxfu1LB4Go,znULkkJFkdE,https://www.songsterr.com/a/wsa/beatles-help-bass-tab-s2625,7DD7eSuYSC5xk2ArU62esN,"Help! I need somebody<br>Help! Not just anybody<br>Help! You know I need someone<br>Help!<br><br>(When) When I was younger (When I was young) so much younger than today<br>(I never need) I never needed anybody's help in any way<br>(Now) But now these days are gone (These days are gone) and I'm not so self assured<br>(And now I find) Now I find I've changed my mind, I've opened up the doors<br><br>Help me if you can, I'm feeling down<br>And I do appreciate you being 'round<br>Help me get my feet back on the ground<br>Won't you please, please help me?<br><br>(Now) And now my life has changed (My life has changed) in oh so many ways<br>(My independence) My independence seems to vanish in the haze<br>(But) But ev'ry now (Every now and then) and then I feel so insecure<br>(I know that I) I know that I just need you like I've never done before<br><br>Help me if you can, I'm feeling down<br>And I do appreciate you being 'round<br>Help me get my feet back on the ground<br>Won't you please, please help me?<br><br>When I was younger, so much younger than today<br>I never needed anybody's help in any way<br>(Now) But now these days are gone (These days are gone) and I'm not so self assured<br>(And now I find) Now I find I've changed my mind, I've opened up the doors<br><br>Help me if you can, I'm feeling down<br>And I do appreciate you being 'round<br>Help me get my feet back on the ground<br>Won't you please, please help me?<br><br>Help me, help me<br>Ooh",
The Night Before,Help!,1965,168.0,156630,Paul,John・George,https://beatlesdata.info/5/02_thenightbefore.html,7tD40D7jk-Q,_AWwbY_GnEc,カジノ・6119・ヘフナー・ピアノ,,,xj5puEn_DEQ,4YPM9Aj0RzE,https://www.songsterr.com/a/wsa/beatles-night-before-bass-tab-s26406,5xcfepnz1v7a83T8An9gjw,"We said our goodbyes, ah, the night before<br>Love was in your eyes, ah, the night before<br>Now today I find you have changed your mind<br>Treat me like you did the night before<br><br>Were you telling lies, ah, the night before?<br>Was I so unwise, ah, the night before?<br>When I held you near you were so sincere<br>Treat me like you did the night before<br><br>Last night is a night I will remember you by<br>When I think of things we did it makes me wanna cry<br><br>We said our goodbye, ah, the night before<br>Love was in your eyes, ah, the night before<br>Now today I find you have changed your mind<br>Treat me like you did the night before<br><br>Yes<br><br>When I held you near you were so sincere<br>Treat me like you did the night before<br><br>Last night is a night I will remember you by<br>When I think of things we did it makes me wanna cry<br><br>Were you telling lies, ah, the night before?<br>Was I so unwise, ah, the night before?<br>When I held you near you were so sincere<br>Treat me like you did the night before<br>Like the night before",
You've Got To Hide Your Love Away,Help!,1965,185.0,131369,John,,https://beatlesdata.info/5/03_youvegottohideyourloveaway.html,02JAble0I-I,,Framus 12・J-160E・ヘフナー・フルート,,,Llb0cem9IBg,bsiOMInMfig,,4F1AgKpuFRMLEgtPETVwZk,"Here I stand head in hand<br>Turn my face to the wall<br>If she's gone I can't go on<br>Feeling two-foot small<br><br>Everywhere people stare<br>Each and every day<br>I can see them laugh at me<br>And I hear them say<br><br>Hey you've got to hide your love away<br>Hey you've got to hide your love away<br><br>How can I even try<br>I can never win<br>Hearing them, seeing them<br>In the state I'm in<br><br>How could she say to me<br>Love will find a way<br>Gather round all you clowns<br>Let me hear you say<br><br>Hey you've got to hide your love away<br>Hey you've got to hide your love away",
I Need You,Help!,1965,135.0,151431,George,John・Paul,https://beatlesdata.info/5/04_ineedyou.html,6t24nX_sak8,vKI4x2GSQyg,クラギ・6119・ヘフナー・カウベル,,,iLvaWAwADto,Xh_dhmMuI-o,https://www.songsterr.com/a/wsa/beatles-i-need-you-bass-tab-s22791,5EzvwjFwdP5Kfl5AZAemzu,"You don't realize how much I need you<br>Love you all the time and never leave you<br>Please come on back to me<br>I'm lonely as can be<br>I need you<br><br>Said you had a thing or two to tell me<br>How was I to know you would upset me?<br>I didn't realize as I looked in your eyes<br>You told me, oh yes, you told me, you don't want my lovin' anymore<br>That's when it hurt me and feeling like this I just can't go on anymore<br><br>Please remember how I feel about you<br>I could never really live without you<br>So, come on back and see just what you mean to me. I need you<br><br>But when you told me, you don't want my lovin' anymore<br>That's when it hurt me and feeling like this I just can't go on anymore<br><br>Please remember how I feel about you<br>I could never really live without you<br>So, come on back and see just what you mean to me<br>I need you<br>I need you<br>I need you",
Another Girl,Help!,1965,176.0,127947,Paul,John・George,https://beatlesdata.info/5/05_anothergirl.html,EMBYNWr5R_U,lijGZg9TcaM,325・J-160E・カジノ・ヘフナー,,,FvX-rSC1xRA,BiwbJD0YHJs,https://www.songsterr.com/a/wsa/beatles-another-girl-bass-tab-s22722,7hefVXaGsFPesbK6fKwS6F,"For I have got another girl, another girl<br>You're making me say that I've got nobody but you<br>But as from today, well, I've got somebody that's new<br>I ain't no fool and I don't take what I don't want<br><br>For I have got another girl, another girl<br>She's sweeter than all the girls and I met quite a few<br>Nobody in all the world can do what she can do<br>And so I'm telling you, This time you'd better stop<br><br>For I have got another girl, another girl<br>Who will love me till the end<br>Through thick and thin<br>She will always be my friend<br><br>I don't want to say that I've been unhappy with you<br>But, as from today, well, I've seen somebody that's new<br>I ain't no fool and I don't take what I don't want<br><br>For I have got another girl, another girl<br>Who will love me till the end<br>Through thick and thin<br>She will always be my friend<br><br>I don't want to say that I've been unhappy with you<br>But, as from today, well, I've seen somebody that's new<br>I ain't no fool and I don't take what I don't want<br><br>For I have got another girl, another girl<br>Another girl",
You're Going To Lose That Girl,Help!,1965,132.0,140382,John,Paul・George,https://beatlesdata.info/5/06_youregoingtolosethatgirl.html,vqpEZuv29qE,h5XUQeYe118,325・6122・ヘフナー・ピアノ,,,8MBs6ZoqpeE,NEw5yBJz0ug,https://www.songsterr.com/a/wsa/beatles-youre-going-to-lose-that-girl-bass-tab-s66562,70HNt0eoBVqr4ss68U8x3B,"You're gonna lose that girl<br>(Yes, yes, you're gonna lose that girl)<br>You're gonna lose that girl<br>(Yes, yes, you're gonna lose that girl)<br><br>If you don't take her out tonight<br>She's gonna change her mind<br>(She's gonna change her mind)<br>And I will take her out tonight<br>And I will treat her kind<br>(I'm gonna treat her kind)<br><br>You're gonna lose that girl<br>(Yes, yes, you're gonna lose that girl)<br>You're gonna lose that girl<br>(Yes, yes, you're gonna lose that girl)<br>If you don't treat her right, my friend<br>You're gonna find her gone<br>(You're gonna find her gone)<br><br>Cause I will treat her right, and then<br>You'll be the lonely one<br>(You're not the only one)<br><br>You're gonna lose that girl<br>(Yes, yes, you're gonna lose that girl)<br>You're gonna lose that girl<br>(Yes, yes, you're gonna lose that girl)<br>You're gonna lose<br>(Yes, yes, you're gonna lose that girl)<br><br>I'll make a point<br>Of taking her away from you, (watch what you do) yeah,<br>The way you treat her what else can I do?<br><br>(You're gonna lose that girl)<br>(You're gonna lose that girl)<br><br>You're gonna lose that girl<br>(Yes, yes, you're gonna lose that girl)<br>You're gonna lose that girl<br>(Yes, yes, you're gonna lose that girl)<br>You're gonna lose<br>(Yes, yes, you're gonna lose that girl)<br><br>I'll make a point<br>Of taking her away from you, (watch what you do) yeah,<br>The way you treat her what else can I do?<br><br>If you don't take her out tonight<br>She's gonna change her mind<br>(She's gonna change her mind)<br>And I will take her out tonight<br>And I will treat her kind<br>(I'm gonna treat her kind)<br><br>You're gonna lose that girl<br>(Yes, yes, you're gonna lose that girl)<br>You're gonna lose that girl<br>(Yes, yes, you're gonna lose that girl)<br>You're gonna lose<br>(Yes, yes, you're gonna lose)<br>That girl.",
Ticket To Ride,Help!,1965,123.0,192417,John,Paul,https://beatlesdata.info/5/07_tickettoride.html,uxb_mysjpFM,-W87ARDFn9A,J-160E・6119・360-12・カジノ・ヘフナー・タンバリン,,,VeV9PKeMm3o,zNmuWGP-c20,https://www.songsterr.com/a/wsa/beatles-ticket-to-ride-bass-tab-s26426,7CZiDzGVjUssMSOXrDNYHL,"I think I'm gonna be sad<br>I think it's today, yeah<br>The girl that's driving me mad<br>Is going away<br><br>She's got a ticket to ride<br>She's got a ticket to ride<br>She's got a ticket to ride<br>But she don't care<br><br>She said that living with me<br>Is bringing her down, yeah<br>For she would never be free<br>When I was around<br><br>She's got a ticket to ride<br>She's got a ticket to ride<br>She's got a ticket to ride<br>But she don't care<br><br>I don't know why she's riding so high<br>She ought to think twice<br>She ought to do right by me<br>Before she gets to saying goodbye<br>She ought to think twice<br>She ought to do right by me<br><br>I think I'm gonna be sad<br>I think it's today, yeah<br>The girl that's driving me mad<br>Is going away, yeah<br><br>Oh, she's got a ticket to ride<br>She's got a ticket to ride<br>She's got a ticket to ride<br>But she don't care<br><br>I don't know why she's riding so high<br>She ought to think twice<br>She ought to do right by me<br>Before she gets to saying goodbye<br>She ought to think twice<br>She ought to do right by me<br><br>She said that living with me<br>Is bringing her down, yeah<br>For she would never be free<br>When I was around<br><br>Ah, she's got a ticket to ride<br>She's got a ticket to ride<br>She's got a ticket to ride<br>But she don't care<br><br>My baby don't care, my baby don't care<br>My baby don't care, my baby don't care<br>My baby don't care, my baby don't care (fade out)",
Act Naturally,Help!,1965,93.0,153103,Ringo,Paul,https://beatlesdata.info/5/08_actnaturally.html,yjJd8rZPcAQ,,J-160E・6122・ヘフナー,,,QGoQOs6893w,ZBZMGOOvPH0,https://www.songsterr.com/a/wsa/beatles-act-naturally-bass-tab-s2808,0IxxqsYBcCHEQ1HqLYJnwx,"They're gonna put me in the movies<br>They're gonna make a big star out of me<br>We'll make a film about a man that's sad and lonely<br>And all I gotta do is act naturally<br><br>Well, I'll bet you I'm gonna be a big star<br>Might win an Oscar you can never tell<br>The movies gonna make me a big star<br>'Cause I can play the part so well<br><br>Well I hope you'll come and see me in the movies<br>Then I'll know that you will plainly see<br>The biggest fool that ever hit the big time<br>And all I gotta do is act naturally<br><br>We'll make the scene about a man that's sad and lonely<br>And begging down upon his bended knee<br>I'll play the part and I won't need rehearsing<br>All I have to do is act naturally<br><br>Well, I'll bet you I'm gonna be a big star<br>Might win an Oscar you can never tell<br>The movies gonna make me a big star<br>'Cause I can play the part so well<br><br>Well I hope you'll come and see me in the movies<br>Then I'll know that you will plainly see<br>The biggest fool that ever hit the big time<br>And all I gotta do is act naturally",
